id,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,season,city,venue,toss_winner,toss_decision,winner,result,result_margin,player_of_match,team1,team2,batting_team,bowling_team
392217,140,7,122,141,3,116,2009,Kimberley,De Beers Diamond Oval,Rajasthan,bat,Chennai,wickets,7.0,S Badrinath,Chennai,Rajasthan,Rajasthan,Chennai
392218,157,2,127,141,7,128,2009,Port Elizabeth,St George's Park,Mumbai,bat,Mumbai,runs,16.0,JP Duminy,Bangalore,Mumbai,Mumbai,Bangalore
392219,123,8,126,125,3,108,2009,Johannesburg,New Wanderers Stadium,Delhi,field,Delhi,wickets,7.0,A Mishra,Delhi,Kolkata,Kolkata,Delhi
392220,166,7,121,113,10,120,2009,Kimberley,De Beers Diamond Oval,Hyderabad,bat,Hyderabad,runs,53.0,DR Smith,Hyderabad,Rajasthan,Hyderabad,Rajasthan
392221,173,4,124,176,4,124,2009,Centurion,SuperSport Park,Bangalore,field,Bangalore,wickets,6.0,LRPL Taylor,Bangalore,Kolkata,Kolkata,Bangalore
392222,119,9,130,122,2,104,2009,Centurion,SuperSport Park,Punjab,bat,Mumbai,wickets,8.0,Harbhajan Singh,Punjab,Mumbai,Punjab,Mumbai
392223,173,7,126,161,10,123,2009,Durban,Kingsmead,Hyderabad,field,Delhi,runs,12.0,R Bhatia,Hyderabad,Delhi,Delhi,Hyderabad
392224,129,10,119,132,8,121,2009,Durban,Kingsmead,Chennai,bat,Bangalore,wickets,2.0,LRPL Taylor,Bangalore,Chennai,Chennai,Bangalore
392225,145,7,124,143,10,127,2009,Durban,Kingsmead,Rajasthan,bat,Rajasthan,runs,2.0,SK Warne,Mumbai,Rajasthan,Rajasthan,Mumbai
392226,120,9,127,123,4,122,2009,Bloemfontein,OUTsurance Oval,Punjab,field,Punjab,wickets,6.0,B Lee,Delhi,Punjab,Delhi,Punjab
392227,147,5,122,151,3,120,2009,Port Elizabeth,St George's Park,Mumbai,bat,Chennai,wickets,7.0,ML Hayden,Chennai,Mumbai,Mumbai,Chennai
392228,160,5,124,166,4,124,2009,Johannesburg,New Wanderers Stadium,Hyderabad,field,Hyderabad,wickets,6.0,RG Sharma,Hyderabad,Kolkata,Kolkata,Hyderabad
392229,134,7,126,133,8,124,2009,Johannesburg,New Wanderers Stadium,Hyderabad,field,Punjab,runs,1.0,Yuvraj Singh,Hyderabad,Punjab,Punjab,Hyderabad
392230,150,3,124,136,9,127,2009,Bloemfontein,OUTsurance Oval,Delhi,bat,Delhi,runs,14.0,AB de Villiers,Delhi,Rajasthan,Delhi,Rajasthan
392231,188,3,129,189,3,121,2009,Centurion,SuperSport Park,Chennai,bat,Kolkata,wickets,7.0,BJ Hodge,Chennai,Kolkata,Chennai,Kolkata
392232,134,7,123,135,3,116,2009,Johannesburg,New Wanderers Stadium,Delhi,bat,Bangalore,wickets,7.0,JH Kallis,Bangalore,Delhi,Delhi,Bangalore
392233,101,9,123,102,6,119,2009,Durban,Kingsmead,Kolkata,field,Kolkata,wickets,4.0,LR Shukla,Kolkata,Rajasthan,Rajasthan,Kolkata
392234,116,9,122,92,8,123,2009,Durban,Kingsmead,Chennai,bat,Chennai,runs,24.0,M Muralitharan,Chennai,Punjab,Chennai,Punjab
392235,165,8,131,166,6,110,2009,Centurion,SuperSport Park,Delhi,field,Delhi,wickets,4.0,V Sehwag,Delhi,Mumbai,Mumbai,Delhi
392236,170,4,121,158,6,126,2009,Centurion,SuperSport Park,Bangalore,bat,Bangalore,runs,12.0,MK Pandey,Bangalore,Hyderabad,Bangalore,Hyderabad
392237,153,8,125,154,4,112,2009,Centurion,SuperSport Park,Hyderabad,field,Hyderabad,wickets,6.0,AC Gilchrist,Delhi,Hyderabad,Delhi,Hyderabad
392238,146,5,123,149,4,115,2009,Johannesburg,New Wanderers Stadium,Bangalore,field,Bangalore,wickets,6.0,MK Pandey,Bangalore,Chennai,Chennai,Bangalore
392239,143,6,126,137,9,121,2009,Johannesburg,New Wanderers Stadium,Bangalore,field,Hyderabad,runs,6.0,A Kumble,Bangalore,Hyderabad,Hyderabad,Bangalore
419106,161,4,127,150,7,127,2010,Mumbai,Dr DY Patil Sports Academy,Hyderabad,field,Kolkata,runs,11.0,AD Mathews,Hyderabad,Kolkata,Kolkata,Hyderabad
419107,212,7,129,208,7,125,2010,Mumbai,"Brabourne Stadium, Mumbai",Mumbai,bat,Mumbai,runs,4.0,YK Pathan,Mumbai,Rajasthan,Mumbai,Rajasthan
419108,142,9,125,146,5,121,2010,Chandigarh,Punjab Cricket Association Stadium,Delhi,field,Delhi,wickets,5.0,G Gambhir,Punjab,Delhi,Punjab,Delhi
419109,135,7,122,136,3,121,2010,Kolkata,Eden Gardens,Kolkata,field,Kolkata,wickets,7.0,MK Tiwary,Kolkata,Bangalore,Bangalore,Kolkata
419110,190,4,131,159,9,123,2010,Chennai,MA Chidambaram Stadium,Hyderabad,bat,Hyderabad,runs,31.0,WPUJC Vaas,Chennai,Hyderabad,Hyderabad,Chennai
419111,141,6,125,142,4,107,2010,Ahmedabad,Sardar Patel Stadium,Delhi,field,Delhi,wickets,6.0,V Sehwag,Rajasthan,Delhi,Rajasthan,Delhi
419112,203,3,130,204,2,118,2010,Bangalore,M Chinnaswamy Stadium,Punjab,bat,Bangalore,wickets,8.0,JH Kallis,Bangalore,Punjab,Punjab,Bangalore
419113,164,3,121,109,10,119,2010,Kolkata,Eden Gardens,Chennai,bat,Chennai,runs,55.0,MS Dhoni,Kolkata,Chennai,Chennai,Kolkata
419114,218,7,127,120,9,103,2010,Delhi,Feroz Shah Kotla,Delhi,field,Mumbai,runs,98.0,SR Tendulkar,Delhi,Mumbai,Mumbai,Delhi
419115,92,10,124,93,0,71,2010,Bangalore,M Chinnaswamy Stadium,Bangalore,field,Bangalore,wickets,10.0,JH Kallis,Bangalore,Rajasthan,Rajasthan,Bangalore
419116,185,6,125,190,5,123,2010,Delhi,Feroz Shah Kotla,Delhi,bat,Chennai,wickets,5.0,ML Hayden,Delhi,Chennai,Delhi,Chennai
419117,170,8,121,164,8,122,2010,Cuttack,Barabati Stadium,Punjab,field,Hyderabad,runs,6.0,A Symonds,Hyderabad,Punjab,Hyderabad,Punjab
419118,168,7,123,134,5,121,2010,Ahmedabad,Sardar Patel Stadium,Rajasthan,bat,Rajasthan,runs,34.0,AA Jhunjhunwala,Rajasthan,Kolkata,Rajasthan,Kolkata
419119,151,9,124,155,3,115,2010,Mumbai,"Brabourne Stadium, Mumbai",Mumbai,bat,Bangalore,wickets,7.0,JH Kallis,Mumbai,Bangalore,Mumbai,Bangalore
419120,171,6,121,161,9,121,2010,Cuttack,Barabati Stadium,Hyderabad,bat,Hyderabad,runs,10.0,A Symonds,Hyderabad,Delhi,Hyderabad,Delhi
419122,155,3,126,156,3,115,2010,Mumbai,"Brabourne Stadium, Mumbai",Kolkata,bat,Mumbai,wickets,7.0,SR Tendulkar,Mumbai,Kolkata,Kolkata,Mumbai
419123,171,5,124,135,7,126,2010,Bangalore,M Chinnaswamy Stadium,Chennai,field,Bangalore,runs,36.0,RV Uthappa,Bangalore,Chennai,Bangalore,Chennai
419124,183,5,127,152,10,119,2010,Chandigarh,Punjab Cricket Association Stadium,Punjab,field,Rajasthan,runs,31.0,AC Voges,Punjab,Rajasthan,Rajasthan,Punjab
419125,180,2,130,181,5,120,2010,Mumbai,"Brabourne Stadium, Mumbai",Mumbai,field,Mumbai,wickets,5.0,SR Tendulkar,Chennai,Mumbai,Chennai,Mumbai
419126,148,9,127,151,2,97,2010,Ahmedabad,Sardar Patel Stadium,Hyderabad,bat,Rajasthan,wickets,8.0,YK Pathan,Rajasthan,Hyderabad,Hyderabad,Rajasthan
419127,183,5,130,144,6,125,2010,Chandigarh,Punjab Cricket Association Stadium,Kolkata,bat,Kolkata,runs,39.0,MK Tiwary,Punjab,Kolkata,Kolkata,Punjab
419128,183,4,127,166,9,125,2010,Bangalore,M Chinnaswamy Stadium,Bangalore,field,Delhi,runs,17.0,KM Jadhav,Bangalore,Delhi,Delhi,Bangalore
419129,177,8,122,160,6,123,2010,Ahmedabad,Sardar Patel Stadium,Rajasthan,bat,Rajasthan,runs,17.0,NV Ojha,Rajasthan,Chennai,Rajasthan,Chennai
419130,172,7,129,131,10,110,2010,Mumbai,Dr DY Patil Sports Academy,Hyderabad,field,Mumbai,runs,41.0,Harbhajan Singh,Hyderabad,Mumbai,Mumbai,Hyderabad
419131,177,4,124,137,9,126,2010,Delhi,Feroz Shah Kotla,Delhi,bat,Delhi,runs,40.0,DA Warner,Delhi,Kolkata,Delhi,Kolkata
419132,163,10,127,164,6,124,2010,Mumbai,"Brabourne Stadium, Mumbai",Mumbai,field,Mumbai,wickets,4.0,SL Malinga,Mumbai,Punjab,Punjab,Mumbai
419133,161,4,124,162,5,117,2010,Chennai,MA Chidambaram Stadium,Bangalore,bat,Chennai,wickets,5.0,M Vijay,Chennai,Bangalore,Bangalore,Chennai
419134,188,6,124,121,10,109,2010,Delhi,Feroz Shah Kotla,Delhi,bat,Delhi,runs,67.0,KD Karthik,Delhi,Rajasthan,Delhi,Rajasthan
419135,181,6,126,157,5,125,2010,Kolkata,Eden Gardens,Kolkata,bat,Kolkata,runs,24.0,SC Ganguly,Kolkata,Hyderabad,Kolkata,Hyderabad
419136,181,5,124,184,4,118,2010,Chandigarh,Punjab Cricket Association Stadium,Punjab,bat,Bangalore,wickets,6.0,KP Pietersen,Punjab,Bangalore,Punjab,Bangalore
419137,246,5,122,223,5,125,2010,Chennai,MA Chidambaram Stadium,Chennai,bat,Chennai,runs,23.0,M Vijay,Chennai,Rajasthan,Chennai,Rajasthan
419138,178,5,124,115,10,114,2010,Mumbai,"Brabourne Stadium, Mumbai",Mumbai,bat,Mumbai,runs,63.0,AT Rayudu,Mumbai,Hyderabad,Mumbai,Hyderabad
419139,200,3,127,204,2,112,2010,Kolkata,Eden Gardens,Kolkata,bat,Punjab,wickets,8.0,DPMD Jayawardene,Kolkata,Punjab,Kolkata,Punjab
419140,184,5,123,147,9,121,2010,Delhi,Feroz Shah Kotla,Delhi,bat,Delhi,runs,37.0,PD Collingwood,Delhi,Bangalore,Delhi,Bangalore
419141,159,10,123,157,10,126,2010,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan,bat,Rajasthan,runs,2.0,SK Warne,Hyderabad,Rajasthan,Rajasthan,Hyderabad
419142,165,4,128,141,9,129,2010,Chennai,MA Chidambaram Stadium,Chennai,bat,Chennai,runs,24.0,SK Raina,Chennai,Mumbai,Chennai,Mumbai
419143,153,6,126,157,1,97,2010,Jaipur,Sawai Mansingh Stadium,Punjab,bat,Rajasthan,wickets,9.0,MJ Lumb,Rajasthan,Punjab,Punjab,Rajasthan
419144,181,3,126,167,8,124,2010,Kolkata,Eden Gardens,Kolkata,bat,Kolkata,runs,14.0,SC Ganguly,Kolkata,Delhi,Kolkata,Delhi
419145,184,6,130,186,3,121,2010,Bangalore,M Chinnaswamy Stadium,Hyderabad,field,Hyderabad,wickets,7.0,TL Suman,Bangalore,Hyderabad,Bangalore,Hyderabad
